waktu,heading,wind speed,wind direction
16:19:04,272,1.6,100
16:19:06,272,1.5,149
16:19:08,272,1.5,35
16:19:10,272,1.9,4
16:19:12,273,2.5,5
16:19:15,272,2.1,76
16:19:17,273,2,203
16:19:19,272,1.5,14
16:19:21,272,1.9,143
16:19:23,272,2.2,250
16:19:26,272,1.7,346
16:19:28,272,1.5,64
16:19:30,272,1.3,75
16:19:32,272,1.9,114
16:19:34,272,2.2,17
16:19:37,272,2.3,222
16:19:39,272,2,233
16:19:41,272,1.9,225
16:19:43,272,2.3,312
16:19:45,272,2.4,339
16:19:48,272,2.3,155
16:19:50,272,2.5,112
16:19:52,272,2,357
16:19:54,272,1.7,332
16:19:56,273,1.8,62
16:19:59,273,1.5,106
16:20:01,273,2.1,209
16:20:03,273,2.3,17
16:20:05,273,2.4,18
16:20:07,273,1.4,51
16:20:10,273,1.3,110
16:20:12,274,1.8,268
16:20:14,274,2.1,41
16:20:16,274,1.6,285
16:20:18,274,2.5,103
16:20:20,274,2.2,313
16:20:23,274,1.5,66
16:20:25,275,1,332
16:20:27,275,0.9,74
16:20:29,275,1,349
16:20:31,275,1.2,13
16:20:34,275,1.1,66
16:20:36,276,0.8,349
16:20:38,276,0.4,10
16:20:40,276,0.8,36
16:20:42,276,0.9,8
16:20:45,276,1.1,355
16:20:47,276,1.4,325
16:20:49,277,1.6,15
16:20:51,277,1.2,14
16:20:53,277,0.9,321
16:20:56,277,0.6,211
16:20:58,277,0.6,2
16:21:00,278,0.5,295
16:21:02,278,0.8,292
16:21:04,278,0.9,168
16:21:07,278,1.2,11
16:21:09,278,1.1,183
16:21:11,278,0.9,190
16:21:13,278,0.5,149
16:21:15,279,0.3,19
16:21:17,279,0.1,69
16:21:19,279,0.8,348
16:21:22,279,0.7,1
16:21:24,280,0.3,62
16:21:26,280,0.1,308
16:21:28,280,0.5,123
16:21:30,280,0.6,354
16:21:32,280,0.4,36
16:21:35,281,0.8,6
16:21:37,281,0.5,20
16:21:39,281,0.6,43
16:21:41,281,0.7,28
16:21:43,282,0.6,307
16:21:46,282,0.9,38
16:21:48,282,0.8,328
16:21:50,282,1,40
16:21:52,283,0.9,34
16:21:54,283,0.7,314
16:21:56,283,0.4,37
16:21:59,283,0.3,45
16:22:01,284,0,334
16:22:03,284,0.1,13
16:22:05,284,0.2,359
16:22:07,284,0,345
16:22:09,284,0.3,340
16:22:12,284,0,354
16:22:14,285,0.1,3
16:22:16,285,0,18
16:22:18,285,0.2,19
16:22:20,285,0.1,329
16:22:23,286,0.1,310
16:22:25,286,0,17
16:22:27,286,0.1,324
16:22:29,286,0.2,64
16:22:31,286,0.5,42
16:22:33,285,0.6,258
16:22:36,285,0.8,37
16:22:38,285,0.4,341
16:22:40,285,0.6,299
16:22:42,285,0.4,335
16:22:44,285,0.2,316
16:22:46,285,0.1,359
16:22:48,284,0.1,2
16:22:51,284,0.1,283
16:22:53,284,0.2,20
16:22:55,284,0.1,319
16:22:57,284,0,285
16:22:59,284,0.4,219
16:23:01,284,1.2,250
16:23:03,284,1,265
16:23:06,284,0.8,212
16:23:08,284,1.4,241
16:23:10,284,1.4,134
16:23:12,284,1.5,93
16:23:14,284,1.2,113
16:23:16,283,1.7,43
16:23:19,284,2,325
16:23:21,284,1.4,302
16:23:23,284,1.1,314
16:23:25,284,0.4,6
16:23:27,284,0.5,357
16:23:29,284,0.2,319
16:23:32,284,0.6,342
16:23:34,284,0.7,354
16:23:36,284,0.7,5
16:23:38,284,0.3,11
16:23:40,284,0.2,271
16:23:42,284,0.1,272
16:23:45,284,0.1,288
16:23:47,284,0.6,307
16:23:49,284,0.8,64
16:23:51,284,1,10
16:23:53,284,0.5,336
16:23:55,284,0.6,45
16:23:58,284,0.8,330
16:24:00,284,0.6,350
16:24:02,284,0.5,348
16:24:04,284,0.1,25
16:24:06,284,0.1,38
16:24:08,284,0.4,293
16:24:10,284,0.1,313
16:24:13,284,0.2,283
16:24:15,284,0.5,340
16:24:17,284,0.7,13
16:24:19,284,0.6,27
16:24:21,284,0.7,9
16:24:23,284,0.6,328
16:24:25,284,1.1,311
16:24:27,284,1.7,231
16:24:30,284,1.4,277
16:24:32,284,1,231
16:24:34,284,1.2,309
16:24:36,284,1,22
16:24:38,284,0.8,335
16:24:41,284,0.8,353
16:24:43,285,1.2,23
16:24:45,284,1.2,26
16:24:47,284,1.3,25
16:24:49,284,1.6,19
16:24:51,285,1.2,354
16:24:53,284,1,13
16:24:55,284,1.5,328
16:24:58,285,1.6,216
16:25:00,284,1.3,292
16:25:02,285,0.9,313
16:25:04,284,0.8,355
16:25:06,285,1,73
16:25:09,285,0.8,322
16:25:11,284,0.8,278
16:25:13,284,1,285
16:25:15,284,1.1,228
16:25:17,285,0.8,88
16:25:19,284,0.3,180
16:25:21,284,0.9,90
16:25:23,285,0.8,325
16:25:25,285,0.6,328
16:25:27,285,0.5,4
16:25:30,285,0.6,357
16:25:32,285,0.6,340
16:25:34,285,0.5,268
16:25:36,285,0.3,295
16:25:38,285,0.4,309
16:25:40,285,1,319
16:25:42,285,0.6,325
16:25:45,285,0.6,266
16:25:47,285,0.3,341
16:25:49,285,1,57
16:25:51,284,1.1,343
16:25:53,285,0.7,291
16:25:56,285,0.6,327
16:25:58,285,0.4,0
16:26:00,285,0.8,32
16:26:02,285,0.5,327
16:26:04,285,0.3,357
16:26:06,285,0.6,297
16:26:08,285,0.5,320
16:26:11,285,0.6,355
16:26:13,285,0.6,15
16:26:15,285,0.1,250
16:26:17,285,0.6,9
16:26:19,285,0.2,38
16:26:21,285,0.3,187
16:26:24,285,1.2,139
16:26:26,285,1,194
16:26:28,285,0.9,322
16:26:30,285,0.8,119
16:26:32,285,0.7,19
16:26:34,285,0.6,10
16:26:36,285,1,84
16:26:39,285,1.2,34
16:26:41,285,1.2,328
16:26:43,285,0.7,340
16:26:45,285,1.3,51
16:26:47,285,1.4,33
16:26:49,285,1.6,61
16:26:52,285,1.3,24
16:26:54,285,1.1,307
16:26:56,285,1.3,77
16:26:58,285,1.2,93
16:27:00,285,1.2,81
16:27:03,286,1.3,301
16:27:05,285,0.9,282
16:27:07,285,1.1,277
16:27:09,285,0.7,156
16:27:11,285,1.2,219
16:27:13,285,1.1,261
16:27:16,286,0.7,349
16:27:18,285,1.5,348
16:27:20,285,1.6,325
16:27:22,285,1.2,316
16:27:24,286,1.1,350
16:27:26,285,1,238
16:27:28,286,0.7,245
16:27:31,285,0.3,313
16:27:33,286,0.6,311
16:27:35,285,0.3,283
16:27:37,285,0.4,248
16:27:39,286,0.4,259
16:27:41,285,0.6,263
16:27:44,285,0.6,260
16:27:46,285,0.6,348
16:27:48,285,0.3,351
16:27:50,285,0.6,252
16:27:52,285,0.1,264
16:27:54,286,0.5,322
16:27:57,285,0,321
16:27:59,285,0.2,323
16:28:01,285,0.2,318
16:28:03,285,0.1,314
16:28:05,285,0,307
16:28:07,286,0,287
16:28:09,285,0,288
16:28:12,286,0,247
16:28:14,286,0,202
16:28:16,285,0,10
16:28:18,285,0.1,186
16:28:20,285,0.2,341
16:28:22,286,0,5
16:28:25,285,0.6,310
16:28:27,285,0.7,354
16:28:29,286,0.7,352
16:28:31,286,0.6,322
16:28:33,285,0.4,342
16:28:35,285,0.4,335
16:28:37,285,0.2,286
16:28:40,286,0.2,306
16:28:42,286,0.1,305
16:28:44,286,0.1,307
16:28:46,286,0.1,307
16:28:48,286,0,316
16:28:50,286,0,316
16:28:52,285,0,315
16:28:55,285,0,303
16:28:57,285,0,333
16:28:59,284,0,310
16:29:01,284,0.1,226
16:29:03,284,0.3,248
16:29:06,284,0.2,5
16:29:08,284,0.1,314
16:29:10,284,0,327
16:29:12,283,0,1
16:29:14,283,0,302
16:29:16,283,0,346
16:29:19,283,0.2,235
16:29:21,282,0.7,241
16:29:23,282,0.8,250
16:29:25,282,0.6,7
16:29:27,282,0.2,23
16:29:29,281,0.7,359
16:29:32,281,0.7,342
16:29:34,280,0.7,355
16:29:36,280,0.8,344
16:29:38,280,0.6,313
16:29:40,279,0.6,307
16:29:42,279,0.4,350
16:29:44,279,0.4,296
16:29:47,278,0.2,331
16:29:49,278,0.7,190
16:29:51,278,1.1,283
16:29:53,277,1.1,22
16:29:55,277,0.9,39
16:29:58,277,1.3,201
16:30:00,276,1.3,25
16:30:02,276,1.1,3
16:30:04,276,0.8,6
16:30:06,275,1.1,22
16:30:09,275,1,339
16:30:11,275,1.2,85
16:30:13,274,1,31
16:30:15,274,1,351
16:30:17,273,1,351
16:30:19,273,1.2,275
16:30:22,273,0.9,298
16:30:24,273,0.8,341
16:30:26,272,0.9,304
16:30:28,272,0.8,323
16:30:30,272,0.6,2
16:30:32,271,0.4,26
16:30:35,271,0.6,6
16:30:37,271,0.8,12
16:30:39,270,0.6,12
16:30:41,270,0.2,0
16:30:43,270,0.1,353
16:30:46,269,0.7,4
16:30:48,269,0.5,42
16:30:50,268,0.6,42
16:30:52,268,0.5,353
16:30:54,268,1.2,71
16:30:57,268,1.2,43
16:30:59,268,1.2,36
16:31:01,267,0.9,39
16:31:03,267,0.9,54
16:31:05,266,0.7,37
16:31:08,266,0.6,31
16:31:10,267,0.6,291
16:31:12,267,1.3,221
16:31:14,267,1.1,252
16:31:16,267,1.2,65
16:31:19,267,1.2,54
16:31:21,267,1.6,68
16:31:23,267,1.6,316
16:31:25,268,1.7,71
16:31:27,267,1.6,270
16:31:30,268,1.7,267
16:31:32,268,1.1,249
16:31:34,268,1.1,252
16:31:36,269,1.1,45
16:31:38,268,1,331
16:31:40,268,1.1,54
16:31:43,269,0.8,35
16:31:45,269,0.8,65
16:31:47,269,1.2,49
16:31:49,270,1.1,42
16:31:51,270,0.9,358
16:31:53,270,1,300
16:31:55,270,1,237
16:31:57,271,1.1,76
16:32:00,271,1.2,291
16:32:02,271,1.2,41
16:32:04,271,1.2,134
16:32:06,271,0.7,123
16:32:08,272,0.2,158
16:32:11,272,0.4,195
16:32:13,271,0.9,157
16:32:15,272,1.5,175
16:32:17,272,1.4,149
16:32:19,272,1.3,161
16:32:21,272,1.4,134
16:32:24,272,1.7,105
16:32:26,272,1.9,145
16:32:28,272,2.2,123
16:32:30,273,1.8,146
16:32:32,272,1.1,141
16:32:34,272,1.4,100
16:32:36,273,1.9,146
16:32:39,272,1.8,139
16:32:41,272,1.1,131
16:32:43,273,0.6,123
16:32:45,272,1.2,157
16:32:47,272,1.3,169
16:32:50,273,1.1,117
16:32:52,273,2.2,138
16:32:54,273,2.4,136
16:32:56,273,2.5,140
16:32:58,273,2.7,140
16:33:00,273,2.2,147
16:33:02,273,1.2,146
16:33:05,273,1.1,138
16:33:07,274,0.4,137
16:33:09,273,0.5,159
16:33:11,274,0.1,142
16:33:13,274,0.4,157
16:33:15,274,0.5,233
16:33:17,274,0.6,249
16:33:20,275,0.6,143
16:33:22,274,0.3,148
16:33:24,275,0.6,169
16:33:26,275,1.2,144
16:33:28,275,0.6,71
16:33:30,275,0.6,113
16:33:32,275,0.7,151
16:33:34,276,0.6,155
16:33:37,276,0.7,158
16:33:39,276,0.6,152
16:33:41,276,0.9,190
16:33:43,276,1.1,177
16:33:45,276,0.8,228
16:33:47,276,0.8,283
16:33:49,276,0.6,263
16:33:51,276,0.1,273
16:33:54,276,0.5,330
16:33:56,276,0.2,344
16:33:58,276,0.1,157
16:34:00,276,0.4,161
