ComponentId,Latitude,Longitude,Depth
3,1.145929725,103.911849662,2.5
3,1.145947812,103.911849662,2.5
3,1.145947812,103.911831692,2.5
3,1.1459659,103.911831692,2.5
3,1.1459659,103.911813722,2.5
3,1.145983987,103.911813722,2.5
3,1.145983987,103.911795752,2.5
3,1.146002074,103.911795752,2.5
3,1.146002074,103.911777782,2.5
3,1.146020162,103.911777782,2.5
3,1.146020162,103.911759812,2.5
3,1.146038249,103.911759812,2.5
3,1.146038249,103.911741842,2.5
3,1.146056336,103.911741842,2.5
3,1.146056336,103.911723872,2.5
3,1.146074423,103.911723872,2.5
3,1.146074423,103.911705902,2.5
3,1.146092511,103.911705902,2.5
3,1.146092511,103.911687933,2.5
3,1.146110598,103.911687933,2.5
3,1.146110598,103.911651993,2.5
3,1.146128685,103.911651993,2.5
3,1.146128685,103.911634023,2.5
3,1.146146773,103.911634023,2.5
3,1.146146773,103.911616053,2.5
3,1.14616486,103.911616053,2.5
3,1.14616486,103.911598083,2.5
3,1.146182947,103.911598083,2.5
3,1.146182947,103.911580113,2.5
3,1.146201035,103.911580113,2.5
3,1.146201035,103.911562143,2.5
3,1.146219122,103.911562143,2.5
3,1.146219122,103.911544173,2.5
3,1.146237209,103.911544173,2.5
3,1.146237209,103.911526203,2.5
3,1.146255297,103.911526203,2.5
3,1.146255297,103.911508233,2.5
3,1.146273384,103.911508233,2.5
3,1.146273384,103.911490263,2.5
3,1.146291471,103.911490263,2.5
3,1.146291471,103.911472293,2.5
3,1.146309559,103.911472293,2.5
3,1.146309559,103.911454323,2.5
3,1.146327646,103.911454323,2.5
3,1.146327646,103.911436353,2.5
3,1.146345733,103.911436353,2.5
3,1.146345733,103.911418383,2.5
3,1.146363821,103.911418383,2.5
3,1.146363821,103.911400413,2.5
3,1.146381908,103.911400413,2.5
3,1.146381908,103.911364473,2.5
3,1.146399995,103.911364473,2.5
3,1.146399995,103.911346503,2.5
3,1.146418082,103.911346503,2.5
3,1.146418082,103.911328534,2.5
3,1.146454257,103.911328534,2.5
3,1.146454257,103.911310564,2.5
3,1.146472344,103.911310564,2.5
3,1.146472344,103.911292594,2.5
3,1.146490432,103.911292594,2.5
